name,number,status
PEP Purpose and Guidelines,1,Active
Doing Python Releases 101,101,Active
Collecting information about git,103,Withdrawn
Doing Python Micro Releases,102,Superseded
Feature Requests,42,Withdrawn
Sample reStructuredText PEP Template,12,Active
Python Unicode Integration,100,Final
Python Language Governance,13,Active
The Zen of Python,20,Active
Python 2.0 Release Schedule,200,Final
Python 1.6 Release Schedule,160,Final
Lockstep Iteration,201,Final
CPython platform support,11,Active
Voting Guidelines,10,Active
Style Guide for Python Code,8,Active
Sample Plaintext PEP Template,9,Withdrawn
Enabling certificate verification by default for stdlib http clients,476,Final
Change Windows filesystem encoding to UTF-8,529,Final
Python 3.11 Release Schedule,664,Active
Backport ssl.MemoryBIO and ssl.SSLObject to Python 2.7,546,Rejected
Change Windows console encoding to UTF-8,528,Final
"Standardizing Enum str(), repr(), and format() behaviors",663,Rejected
Sentinel Values,661,Draft
Editable installs via virtual wheels,662,Rejected
A simplified signature for __exit__ and __aexit__,707,Rejected
Filter for tarfile.extractall,706,Final
TypedDict: Read-only items,705,Accepted
Require virtual environments by default for package installers,704,Withdrawn
Specifying external dependencies in pyproject.toml,725,Draft
Stricter Type Guards,724,Withdrawn
Dependency specification for single-file scripts,722,Rejected
Inline script metadata,723,Accepted
Catching Exceptions in Python 3000,3110,Final
Raising Exceptions in Python 3000,3109,Final
Standard Library Reorganization,3108,Final
Function Annotations,3107,Final
"Revamping dict.keys(), .values() and .items()",3106,Final
Add a “while” clause to generator expressions,3142,Rejected
A Type Hierarchy for Numbers,3141,Final
"str(container) should call str(item), not repr(item)",3140,Rejected
2024 Term Steering Council election,8105,Active
2023 Term Steering Council election,8104,Active
Organization of the Python community,8015,Rejected
The Steering Council Model,8016,Accepted
January 2019 Steering Council election,8100,Final
2022 Term Steering Council election,8103,Final
2021 Term Steering Council election,8102,Final
2020 Term Steering Council election,8101,Final
Python Language Governance Proposal Overview,8000,Final
The Commons Governance Model,8014,Rejected
The Technical Leader Governance Model,8010,Rejected
Open Source Governance Survey,8002,Final
The Community Governance Model,8012,Rejected
Python Governance Voting Process,8001,Final
The External Council Governance Model,8013,Rejected
Python Governance Model Lead by Trio of Pythonistas,8011,Rejected
Python Web Server Gateway Interface v1.0.1,3333,Final
Qualified name for classes and functions,3155,Final
Cofunctions,3152,Rejected
Asynchronous IO support,3153,Superseded
Asynchronous IO Support Rebooted: the “asyncio” Module,3156,Final
Reworking the OS and IO exception hierarchy,3151,Final
Statement local namespaces (aka “given” clause),3150,Deferred
Pickle protocol version 4,3154,Final
futures - execute computations asynchronously,3148,Final
String representation in Python 3000,3138,Final
Asynchronous I/O For subprocess.Popen,3145,Withdrawn
IP Address Manipulation Library for the Python Standard Library,3144,Final
Cleaning out sys and the “interpreter” module,3139,Rejected
Standard daemon process library,3143,Deferred
ABI version tagged .so files,3149,Final
PYC Repository Directories,3147,Final
Merging Unladen Swallow into CPython,3146,Withdrawn
Immutable Bytes and Mutable Buffer,3137,Final
Labeled break and continue,3136,Rejected
New Super,3135,Final
Access to Current Module/Class/Function,3130,Rejected
Extended Iterable Unpacking,3132,Final
Supporting Non-ASCII Identifiers,3131,Final
Introducing Roles,3133,Rejected
Exception Chaining and Embedded Tracebacks,3134,Final
Class Decorators,3129,Final
Remove Backslash Continuation,3125,Rejected
BList: A Faster List-like Type,3128,Rejected
Integer Literal Support and Syntax,3127,Final
Extension Module Initialization and Finalization,3121,Final
Making PyObject_HEAD conform to standard C,3123,Final
Remove Implicit String Concatenation,3126,Rejected
Delineation of the main module,3122,Rejected
"Overloading, Generic Functions, Interfaces, and Adaptation",3124,Deferred
Introducing Abstract Base Classes,3119,Final
Using UTF-8 as the default source encoding,3120,Final
Revising the buffer protocol,3118,Final
Renaming iterator.next() to iterator.__next__(),3114,Final
Postfix type declarations,3117,Rejected
Metaclasses in Python 3000,3115,Final
Removal of Tuple Parameter Unpacking,3113,Final
New I/O,3116,Final
Advanced String Formatting,3101,Final
Simple input built-in in Python 3000,3111,Final
Bytes literals in Python 3000,3112,Final
Make print a function,3105,Final
Miscellaneous Python 3.0 Plans,3100,Final
Access to Names in Outer Scopes,3104,Final
A Switch/Case Statement,3103,Rejected
Keyword-Only Arguments,3102,Final
Things that will Not Change in Python 3000,3099,Final
Procedure for Backwards-Incompatible Changes,3002,Final
Python Language Moratorium,3003,Final
Reserved,801,Active
IEEE 754 Floating Point Special Values,754,Rejected
Python 3.14 Release Schedule,745,Active
Python 3000,3000,Final
Procedure for reviewing and improving standard library modules,3001,Withdrawn
JIT Compilation,744,Draft
Add Py_COMPAT_API_VERSION to the Python C API,743,Draft
Narrowing types with TypeIs,742,Accepted
Adding Android as a supported platform,738,Accepted
C API to format a type fully qualified name,737,Final
Dependency Groups in pyproject.toml,735,Draft
Python Configuration C API,741,Draft
Static description file for build details of Python installations,739,Draft
Shorthand syntax for keyword arguments at invocation,736,Draft
Index support for digital attestations,740,Draft
Multiple Interpreters in the Stdlib,734,Deferred
C API Working Group Charter,731,Active
The Python Documentation Editorial Board,732,Active
Adding iOS as a supported platform,730,Final
Typing governance process,729,Active
An Evaluation of Python’s Public C API,733,Draft
TypedDict with Typed Extra Items,728,Draft
Documentation in Annotated Metadata,727,Draft
Module,726,Rejected
Python 3.13 Release Schedule,719,Active
Using tarfile.data_filter for source distribution extraction,721,Final
Disabling bdist_egg distribution uploads on PyPI,715,Final
Adding a “converter” parameter to dataclasses.field,712,Draft
Cross-compiling Python packages,720,Draft
Rename dist-info-metadata in the Simple API,714,Accepted
Subscriptable functions,718,Draft
Callable Modules,713,Rejected
PyBI: a standard format for distributing Python Binaries,711,Draft
Recording the provenance of installed packages,710,Draft
Inlined comprehensions,709,Final
Marking deprecations using the type system,702,Accepted
Remove private dict version field added in PEP 509,699,Accepted
Extending the Repository API to Mitigate Dependency Confusion Attacks,708,Provisional
Syntactic formalization of f-strings,701,Accepted
Additional Fields for the Simple API for Package Indexes,700,Final
Making the Global Interpreter Lock Optional in CPython,703,Accepted
Override Decorator for Static Typing,698,Final
Limited C API for Extending Opaque Types,697,Final
Using TypedDict for more precise **kwargs typing,692,Final
Python 3.12 Release Schedule,693,Active
Type Defaults for Type Parameters,696,Accepted
Type Parameter Syntax,695,Final
Upload 2.0 API for Python Package Repositories,694,Draft
JSON-based Simple API for Python Package Indexes,691,Accepted
Unstable C API tier,689,Final
Making the buffer protocol accessible in Python,688,Final
Lazy Imports,690,Rejected
Make UTF-8 mode default,686,Accepted
Isolating modules in the standard library,687,Accepted
Comparison of extra names for optional distribution dependencies,685,Accepted
A Per-Interpreter GIL,684,Accepted
Data Class Transforms,681,Final
Format Specifier for Signed Zero,682,Final
"Immortal Objects, Using a Fixed Refcount",683,Accepted
tomllib: Support for Parsing TOML in the Standard Library,680,Final
Allow parentheses in assert statements,679,Draft
Enriching Exceptions with Notes,678,Final
Callable Type Syntax,677,Rejected
PEP Infrastructure Process,676,Active
Arbitrary Literal String Type,675,Final
Disallow using macros as l-values,674,Deferred
Self Type,673,Final
Syntax for late-bound function argument defaults,671,Draft
Unicode-related Security Considerations for Python,672,Active
Convert macros to functions in the Python C API,670,Final
Marking Python base environments as “externally managed”,668,Accepted
Low Impact Monitoring for CPython,669,Final
Reject Foolish Indentation,666,Rejected
A file format to list Python dependencies for reproducibility of an application,665,Rejected
Editable installs for pyproject.toml based builds (wheel based),660,Final
Consistent views of namespaces,667,Draft
